timestamp,side,priceUsd,inputMint,outputMint,amountAtomic,amountInput,amountUsd,slippageBps,mode,sizeValue,signature,status,error
2025-11-06T14:40:10.903Z,BUY,157.619833,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:41:02.715Z,BUY,157.901715,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:41:03.518Z,BUY,157.884075,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:41:12.235Z,BUY,157.875064,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:41:14.541Z,BUY,157.804314,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:41:15.227Z,BUY,157.747520,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:41:16.473Z,BUY,157.703600,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:41:17.468Z,BUY,157.663662,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:41:33.982Z,BUY,157.588256,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:41:35.431Z,BUY,157.580329,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,0,0.000000000,0.000000,50,pct,0.2,,skipped,size=0
2025-11-06T14:42:04.828Z,SELL,157.698963,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,104022431,0.104022431,16.404229,50,pct,0.2,AGeBVC2LBCniZstMdRv2QdKLTxa4rDG7bMHQgtEBMwVZcmrn5rWNeyJQUVL62t45QDiEYSXsTRexqnF2PzKwSnc,submitted,
2025-11-06T14:42:17.102Z,SELL,158.148431,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,103947368,0.103947368,16.439113,50,pct,0.2,5GKsTFu79AukofghHjbsosGufWfyAGvcwgRkfoSkAjS7iMckhez9xn5jcXjt7BVHD4JqRw7LWKDMKZNCMPN9xiz,submitted,
2025-11-06T14:43:04.459Z,SELL,158.310708,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,103889995,0.103889995,16.446899,50,pct,0.2,,failed,Transaction too large: 1303 > 1232
2025-11-06T14:43:45.806Z,BUY,158.168121,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,16438000,16.438000000,16.438000,50,pct,0.2,4nyKHLhWL55gqnaRu5oaPnL7VLW9CpRt2VtRV2WBoqtGd2PGafvbDaCgQm8WwG31xeGHYP39CJ3dXJNcW1azYgqe,submitted,
2025-11-06T14:44:21.877Z,SELL,158.043746,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,103945843,0.103945843,16.427990,50,pct,0.2,gnRGsKJEvFMCARvFM23RKhJnamB2iawZeoEjF4WMvBVL6i2nCPNPfFjHHt1HSxhBUco73PhGWwkTgpUayxJrsBZ,submitted,
2025-11-06T14:44:58.362Z,BUY,157.914937,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,16417582,16.417582000,16.417582,50,pct,0.2,4xbk3jz8VMcSTUFtig1Q8TEy5xWa7AGMi5nVdHRWh7JUBgddg1jQtSDEcyFQLadEHBjU7H2SijghSZJE8DynHBu7,submitted,
2025-11-06T14:45:09.334Z,SELL,158.103007,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,103914840,0.103914840,16.429249,50,pct,0.2,,failed,Simulation failed. Message: Transaction simulation failed: Error processing Instruction 5: Program failed to complete.
2025-11-06T14:45:33.216Z,SELL,158.432874,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,103871631,0.103871631,16.456681,50,pct,0.2,,failed,Simulation failed. Message: Transaction simulation failed: Error processing Instruction 5: Program failed to complete.
2025-11-06T14:46:34.309Z,BUY,158.394834,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,So11111111111111111111111111111111111111112,16405673,16.405673000,16.405673,50,pct,0.2,3VN6F5y3C3uhAsUwFq1bCfyLFDJcwh1DfMBBdrUASq8WeQLTETaw9cr85fmqqYLVfY9cgrnciY5dp8fmAgQy4Uaq,submitted,
